name,BestMCC,ObjatBestMCC,TimeatBestMCC,BestObj,TimeatBestObj,MFEatBestMCC,MFEatBestObj,MCCatBestObj,TP,TN,FN,FP,PostProcessMCC,MinDist,Backtracks,Repeat,TimeLimit,Vars
PDB_00088,0.866,429,60.0,429,60.0,-18.0,-18.0,0.866,18,10,0,2,0.739,4,4,2,60,58
PDB_00089,1.0,384,60.0,384,60.0,-13.3,-13.3,1.0,14,5,0,0,-100,4,4,2,60,20
PDB_00090,1.0,384,60.0,384,60.0,-13.3,-13.3,1.0,14,5,0,0,-100,4,4,2,60,20
PDB_00091,1.0,-100,60.0,140,60.0,-5.6,-3.0,0.693,10,3,0,0,1.0,4,4,2,60,4
PDB_00092,1.0,-100,60.0,140,60.0,-5.6,-3.0,0.693,10,3,0,0,1.0,4,4,2,60,4
PDB_00093,1.0,-100,60.0,140,60.0,-5.6,-3.0,0.693,10,3,0,0,1.0,4,4,2,60,4
PDB_00095,0.679,606,0.0,893,0.3,-8.4,-21.7,0.137,34,29,6,6,0.246,4,4,2,60,359
PDB_00096,0.527,273,60.0,273,60.0,-4.5,-4.5,0.527,20,2,4,0,-100,4,4,2,60,41
PDB_00097,1.0,82,0.0,82,0.0,-2.1,-2.1,1.0,6,4,0,0,-100,4,4,2,60,4
PDB_00098,0.65,178,60.0,178,60.0,-3.2,-3.2,0.65,9,9,1,3,-100,4,4,2,60,12
PDB_00099,0.65,178,60.0,178,60.0,-3.2,-3.2,0.65,9,9,1,3,-100,4,4,2,60,12
PDB_00100,1.0,-100,60.0,132,60.0,-5.3,-2.9,0.73,10,4,0,0,1.0,4,4,2,60,10
RFA_00388,0.85,618,0.0,687,60.0,-15.8,-17.6,0.775,28,22,2,2,0.725,4,4,2,60,153
RFA_00389,0.775,643,0.0,643,0.0,-12.7,-12.7,0.775,28,20,2,4,0.725,4,4,2,60,174
RFA_00390,0.775,639,60.0,639,60.0,-12.8,-12.8,0.775,28,20,2,4,0.725,4,4,2,60,139
RFA_00391,0.419,-100,60.0,659,0.0,-7.8,-11.9,0.412,24,14,4,12,0.349,4,4,2,60,153
RFA_00392,0.775,639,0.0,639,0.0,-12.8,-12.8,0.775,28,20,2,4,0.725,4,4,2,60,154
RFA_00393,0.673,-100,60.0,632,0.0,-14.2,-11.6,0.577,28,16,0,10,0.673,4,4,2,60,167
RFA_00394,0.661,-100,60.0,713,60.0,-17.0,-14.4,0.562,30,14,0,10,0.661,4,4,2,60,168
RFA_00395,0.852,443,0.0,513,60.0,-9.8,-11.9,0.779,26,24,2,2,0.734,4,4,2,60,167
RFA_00396,0.779,576,0.0,590,60.0,-9.5,-6.8,0.642,26,22,2,4,0.673,4,4,2,60,132
RFA_00397,0.86,646,0.0,646,0.0,-14.1,-14.1,0.86,28,22,0,4,0.734,4,4,2,60,154
RFA_00398,0.85,588,0.0,588,0.0,-13.1,-13.1,0.85,28,22,2,2,0.791,4,4,2,60,148
RFA_00399,0.775,675,0.0,675,0.0,-15.2,-15.2,0.775,28,20,2,4,0.725,4,4,2,60,165
RFA_00400,0.644,-100,60.0,676,60.0,-17.2,-14.6,0.553,29,15,1,9,0.644,4,4,2,60,156
RFA_00401,0.78,504,0.0,525,0.0,-13.7,-14.3,0.779,24,24,4,2,0.734,4,4,2,60,156
RFA_00402,0.928,518,0.0,518,0.0,-9.2,-9.2,0.928,28,24,2,0,0.791,4,4,2,60,141
RFA_00403,0.725,-100,60.0,756,60.0,-17.2,-18.9,0.703,30,16,0,8,0.725,4,4,2,60,156
RFA_00404,0.775,645,0.0,645,0.0,-12.9,-12.9,0.775,28,20,2,4,0.725,4,4,2,60,141
RFA_00405,0.779,544,0.0,672,60.0,-10.4,-13.5,0.775,26,22,4,2,0.725,4,4,2,60,159
RFA_00406,0.775,681,0.0,681,0.0,-15.8,-15.8,0.775,28,20,2,4,0.725,4,4,2,60,150
RFA_00407,0.775,561,0.0,649,60.0,-13.3,-13.3,0.775,28,20,2,4,0.725,4,4,2,60,145
RFA_00408,0.775,681,0.0,681,0.0,-15.8,-15.8,0.775,28,20,2,4,0.725,4,4,2,60,141
RFA_00409,0.779,513,0.0,513,0.0,-11.9,-11.9,0.779,26,22,2,4,0.734,4,4,2,60,162
RFA_00410,0.775,645,60.0,645,60.0,-12.9,-12.9,0.775,28,20,2,4,0.725,4,4,2,60,140
RFA_00411,0.775,616,0.0,681,60.0,-15.8,-15.8,0.775,28,20,2,4,0.725,4,4,2,60,165
RFA_00412,0.85,588,0.0,588,0.0,-13.1,-13.1,0.85,28,22,2,2,0.791,4,4,2,60,137
RFA_00413,0.779,513,0.0,513,0.0,-11.5,-11.5,0.779,26,22,2,4,0.734,4,4,2,60,153
RFA_00414,0.775,665,0.0,673,0.0,-15.5,-12.1,0.553,28,20,2,4,0.644,4,4,2,60,157
RFA_00415,0.775,688,60.0,688,60.0,-17.7,-17.7,0.775,28,20,2,4,0.725,4,4,2,60,158
RFA_00416,0.861,769,0.0,826,60.0,-21.0,-21.9,0.796,30,21,0,4,0.733,4,4,2,60,176
RFA_00417,0.367,-100,60.0,473,60.0,-1.7,-5.8,0.355,22,14,4,14,0.367,4,4,2,60,160
RFA_00418,0.85,590,60.0,590,60.0,-13.4,-13.4,0.85,28,22,2,2,0.791,4,4,2,60,140
RFA_00419,0.85,492,0.0,562,60.0,-10.6,-10.6,0.85,28,22,2,2,0.791,4,4,2,60,161
RFA_00420,0.518,1110,0.0,1110,0.0,-29.4,-29.4,0.518,30,26,0,26,0.431,4,4,2,60,437
RFA_00421,0.458,1052,0.0,1052,0.0,-25.9,-25.9,0.458,28,23,0,30,0.43,4,4,2,60,399
RFA_00422,0.542,1056,0.0,1110,60.0,-27.2,-29.4,0.512,30,27,0,24,0.454,4,4,2,60,464
RFA_00423,0.512,1088,0.1,1110,0.1,-29.7,-30.1,0.512,30,25,0,26,0.454,4,4,2,60,440
